Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Q,Cockerpoo,"(42.37695144, -71.13143341)",-71.13143341,-71.13143341,West Cambridge
Parker,Pointer,"(42.36524806, -71.10962391)",-71.10962391,-71.10962391,Riverside
Arrow,Poodle,"(42.36035777, -71.11422322)",-71.11422322,-71.11422322,Cambridgeport
Shasta,Shih Poo,"(42.3745027, -71.0937696)",-71.0937696,-71.0937696,NA
Cash,Labrador Retriever,"(42.37200905, -71.0955469)",-71.0955469,-71.0955469,Wellington-Harrington
Barley,Labradoodle,"(42.37426564, -71.13756283)",-71.13756283,-71.13756283,West Cambridge
Abbey,Golden Retriever,"(42.38324793, -71.11384252)",-71.11384252,-71.11384252,Agassiz
Alley,Greyhound,"(42.3845921, -71.13093142)",-71.13093142,-71.13093142,Neighborhood Nine
Pixel,Chihuahua Mix,"(42.39553933, -71.14368235)",-71.14368235,-71.14368235,North Cambridge
Radley,Great Pyrenees,"(42.37438738, -71.10526028)",-71.10526028,-71.10526028,Mid-Cambridge
Penny,Labrador Retriever,"(42.39360504, -71.1321777)",-71.1321777,-71.1321777,North Cambridge
Morrison,Shih Tzu,"(42.37925121, -71.12267716)",-71.12267716,-71.12267716,Neighborhood Nine
Cooper,Maltipoo,"(42.37372698, -71.12374676)",-71.12374676,-71.12374676,West Cambridge
Brownie,English Spaniel Springer,"(42.37243939, -71.08120487)",-71.08120487,-71.08120487,East Cambridge
Poona,Mix,"(42.39135517, -71.13466501)",-71.13466501,-71.13466501,Neighborhood Nine
Boomer,Labrador Beagle Mix,"(42.36981547, -71.0923783)",-71.0923783,-71.0923783,Wellington-Harrington
Trooper,Weimaramer,"(42.36868118, -71.11213291)",-71.11213291,-71.11213291,Riverside
Pappu,Pomeranian,"(42.36443727, -71.09657013)",-71.09657013,-71.09657013,The Port
Bess,Brittany Spaniel,"(42.36891145, -71.10613815)",-71.10613815,-71.10613815,Mid-Cambridge
Ness,Schnauzer,"(42.36824233, -71.10226469)",-71.10226469,-71.10226469,The Port
Tommy,Chihuahua Mix,"(42.36361375, -71.09967878)",-71.09967878,-71.09967878,Cambridgeport
Jasper,Labradoddle,"(42.36333819, -71.11119821)",-71.11119821,-71.11119821,Cambridgeport
Busy,Cairn Terr.,"(42.36197889, -71.10832262)",-71.10832262,-71.10832262,Cambridgeport
Oscar,German Shepherd Mix,"(42.36994868, -71.11130235)",-71.11130235,-71.11130235,Riverside
Elsa,Shih Tzu,"(42.37305455, -71.0972054)",-71.0972054,-71.0972054,Wellington-Harrington
Dolly,Labrador Retriever,"(42.37106846, -71.11219484)",-71.11219484,-71.11219484,Mid-Cambridge
Lola,Springer Spaniel,"(42.35604465, -71.10844835)",-71.10844835,-71.10844835,Cambridgeport
Frida Marcantonio,Havanese,"(42.37242852, -71.12642828)",-71.12642828,-71.12642828,West Cambridge
Bowie,Vizsla,"(42.39974939, -71.12808433)",-71.12808433,-71.12808433,North Cambridge
Chloe,Polish Lowland Sheepdog,"(42.37508792, -71.09829801)",-71.09829801,-71.09829801,Wellington-Harrington
Maddie,Hound,"(42.38785172, -71.15800777)",-71.15800777,-71.15800777,Strawberry Hill
Iggy,American Eskimo,"(42.37782084, -71.12627785)",-71.12627785,-71.12627785,Neighborhood Nine
Hedy Bouquet,French Bulldog,"(42.37671808, -71.14819332)",-71.14819332,-71.14819332,West Cambridge
Piper,Chi/Terr Mix,"(42.3682697, -71.08334045)",-71.08334045,-71.08334045,East Cambridge
Apollo,Pit Bull Terrier Mix,"(42.38796802, -71.133027)",-71.133027,-71.133027,Neighborhood Nine
Little Juda,Yorkie Poo,"(42.40442133, -71.13426903)",-71.13426903,-71.13426903,North Cambridge
Mojo,Labrador Retriever,"(42.39151608, -71.13112664)",-71.13112664,-71.13112664,North Cambridge
Sweetie,Beagle,"(42.37532621, -71.12608067)",-71.12608067,-71.12608067,West Cambridge
Duro,Siberian Husky,"(42.37239, -71.10998146)",-71.10998146,-71.10998146,Mid-Cambridge
Nany,Pomeranian,"(42.36821717, -71.10060644)",-71.10060644,-71.10060644,Mid-Cambridge
Lorelei,Greyhound,"(42.37266177, -71.08656779)",-71.08656779,-71.08656779,East Cambridge
Dottie,Pit Bull Mix,"(42.38700048, -71.14401572)",-71.14401572,-71.14401572,Cambridge Highlands
Ziggy,Golden Doodle,"(42.39454209, -71.13015301)",-71.13015301,-71.13015301,North Cambridge
Emmy,Boston Terrier,"(42.38906956, -71.12214756)",-71.12214756,-71.12214756,Neighborhood Nine
Loki,Toy Fox Terrier,"(42.38719173, -71.1450649)",-71.1450649,-71.1450649,Cambridge Highlands
Peetsie,Golden Retriever,"(42.37827492, -71.14472111)",-71.14472111,-71.14472111,West Cambridge
Stasi,Doberman,"(42.37489314, -71.14379701)",-71.14379701,-71.14379701,West Cambridge
Finnegan,Maltese,"(42.37154416, -71.0848749)",-71.0848749,-71.0848749,East Cambridge
C.J.,Newfoundland,"(42.3804176, -71.14638809)",-71.14638809,-71.14638809,West Cambridge
Bohdi,Portuguese Water Dog,"(42.37596407, -71.12948117)",-71.12948117,-71.12948117,West Cambridge
Obie,Labrador Retriever,"(42.38147031, -71.12176434)",-71.12176434,-71.12176434,Neighborhood Nine
Delilah,LABRADOR Retriever,"(42.36053081, -71.10893964)",-71.10893964,-71.10893964,Cambridgeport
Willie,Yorkie Poo,"(42.37141751, -71.11474121)",-71.11474121,-71.11474121,Mid-Cambridge
Murphy,Pug,"(42.38473756, -71.1257116)",-71.1257116,-71.1257116,Neighborhood Nine
Sandy,Cairn Terr,"(42.38136295, -71.13063046)",-71.13063046,-71.13063046,Neighborhood Nine
Fyodor,Miniature Schnauzer,"(42.3821707, -71.11540276)",-71.11540276,-71.11540276,Agassiz
Sophie,Whippet Mix,"(42.37749697, -71.10957069)",-71.10957069,-71.10957069,Agassiz
Annie,Pug,"(42.36610253, -71.11121189)",-71.11121189,-71.11121189,Riverside
Franklin,French Buldog,"(42.36227838, -71.10257005)",-71.10257005,-71.10257005,Cambridgeport
Star,Min Poodle,"(42.39584167, -71.13718222)",-71.13718222,-71.13718222,North Cambridge
Chica Maria,English Labrador,"(42.35861948, -71.1093481)",-71.1093481,-71.1093481,Cambridgeport
Gloria,West Highland White Terrier,"(42.38303805, -71.13366976)",-71.13366976,-71.13366976,West Cambridge
Albee,Pointer,"(42.36687901, -71.10988736)",-71.10988736,-71.10988736,Riverside
Lola,Cavalier King Charles Spaniel,"(42.36856255, -71.07542669)",-71.07542669,-71.07542669,East Cambridge
Roxy,Yorksire Terrier,"(42.36910468, -71.10299805)",-71.10299805,-71.10299805,Mid-Cambridge
Ollie,Cavalier King Charles Spaniel,"(42.39351461, -71.14530861)",-71.14530861,-71.14530861,Cambridge Highlands
Callie,Beagle,"(42.37242507, -71.10288176)",-71.10288176,-71.10288176,Mid-Cambridge
Remy,Bichon Frise,"(42.37599055, -71.12898843)",-71.12898843,-71.12898843,West Cambridge
Lily,Labrador Retriever,"(42.38040678, -71.12767025)",-71.12767025,-71.12767025,West Cambridge
Mica,Yorkshire Terrier,"(42.36287422, -71.08236271)",-71.08236271,-71.08236271,East Cambridge
Bella,Maltese,"(42.35512242, -71.10754444)",-71.10754444,-71.10754444,Cambridgeport
Summer,Labrador Retriever,"(42.36506817, -71.10268179)",-71.10268179,-71.10268179,Cambridgeport
Willow,Labrador Retriever,"(42.37117757, -71.10899906)",-71.10899906,-71.10899906,Mid-Cambridge
Penny,Bichon Frise,"(42.37464074, -71.08210702)",-71.08210702,-71.08210702,East Cambridge
Nino,Toy Poodle,"(42.3572861, -71.10632162)",-71.10632162,-71.10632162,Cambridgeport
Tucker Worth,LABRADOR Retriever,"(42.36927257, -71.09314376)",-71.09314376,-71.09314376,Wellington-Harrington
Sukey,LABRADOR Retriever,"(42.37795587, -71.13154448)",-71.13154448,-71.13154448,West Cambridge
Sonny,Chihuahua,"(42.39490687, -71.13438545)",-71.13438545,-71.13438545,North Cambridge
Maggie Rose,Golden Retriever,"(42.37316412, -71.12757545)",-71.12757545,-71.12757545,West Cambridge
Shelby,German Shepherd,"(42.37834998, -71.12871428)",-71.12871428,-71.12871428,West Cambridge
Lil Bit,Boxer,"(42.38603176, -71.13318739)",-71.13318739,-71.13318739,Neighborhood Nine
Willow,Standard Poodle,"(42.38674963, -71.13515847)",-71.13515847,-71.13515847,Neighborhood Nine
Dharmaja,Labrador Retriever,"(42.39543357, -71.12947381)",-71.12947381,-71.12947381,North Cambridge
Sasha,Jack Russell Terrier Mix,"(42.3683314, -71.09798012)",-71.09798012,-71.09798012,The Port
Smoky,German Shepherd,"(42.39304375, -71.1558526)",-71.1558526,-71.1558526,Cambridge Highlands
Spenser,Labrador Retriever,"(42.38170994, -71.14178666)",-71.14178666,-71.14178666,West Cambridge
Trixie,Cavachon,"(42.39835671, -71.13470388)",-71.13470388,-71.13470388,North Cambridge
Penelope,Labrador Retriever,"(42.37613811, -71.1308208)",-71.1308208,-71.1308208,West Cambridge
Anubis,Poodle,"(42.39918135, -71.1323078)",-71.1323078,-71.1323078,North Cambridge
Cadence,German Shepherd Mix,"(42.39411274, -71.12871831)",-71.12871831,-71.12871831,North Cambridge
Hugo,Boxer,"(42.38156934, -71.15097351)",-71.15097351,-71.15097351,Strawberry Hill
Jake,Lab Mix,"(42.38150542, -71.13355545)",-71.13355545,-71.13355545,West Cambridge
Doobs,Labrador Retriever,"(42.38814435, -71.14565642)",-71.14565642,-71.14565642,Cambridge Highlands
Meli,Kelpie,"(42.39323043, -71.14506318)",-71.14506318,-71.14506318,Cambridge Highlands
Izzy,Terrier,"(42.37898413, -71.13603713)",-71.13603713,-71.13603713,West Cambridge
Riven,Chihuahua,"(42.3634574, -71.10882548)",-71.10882548,-71.10882548,Cambridgeport
Dexter,OLDE ENGLISH BULLDOG,"(42.36587355, -71.08477516)",-71.08477516,-71.08477516,East Cambridge
Lillie,Beagle,"(42.38110143, -71.1085241)",-71.1085241,-71.1085241,Agassiz
Rusty,Long Hair Dachshund,"(42.39181343, -71.14743756)",-71.14743756,-71.14743756,Cambridge Highlands
Mr. Gus,BOSTON TERRIER,"(42.37233608, -71.08456741)",-71.08456741,-71.08456741,East Cambridge
Moxie,Labrador Retriever Mix,"(42.35989901, -71.11145432)",-71.11145432,-71.11145432,Cambridgeport
Niche,Pug,"(42.37099332, -71.11728567)",-71.11728567,-71.11728567,Riverside
Gracie,Labrador Retriever,"(42.37408279, -71.10005497)",-71.10005497,-71.10005497,Mid-Cambridge
Chloe,Border Collie,"(42.36947345, -71.10684072)",-71.10684072,-71.10684072,Mid-Cambridge
Rocky,Bichon Frise,"(42.37313158, -71.1315578)",-71.1315578,-71.1315578,West Cambridge
Zoey,West Highland White Terrier,"(42.39819372, -71.1502885)",-71.1502885,-71.1502885,North Cambridge
Maya,Sheltie Mix,"(42.37921904, -71.1188685)",-71.1188685,-71.1188685,Neighborhood Nine
Louie,Yorkshire Terrier,"(42.36706556, -71.09929601)",-71.09929601,-71.09929601,The Port
Widget,Entlebucher,"(42.37052438, -71.11305743)",-71.11305743,-71.11305743,Riverside
Bear,Chihuahua,"(42.36689407, -71.10612402)",-71.10612402,-71.10612402,Mid-Cambridge
Penzey,Golden Retriever,"(42.38395098, -71.13520196)",-71.13520196,-71.13520196,Neighborhood Nine
Taco,Cocker Spaniel,"(42.3962881, -71.12543277)",-71.12543277,-71.12543277,North Cambridge
Tomato,Corgi,"(42.39347318, -71.14781118)",-71.14781118,-71.14781118,North Cambridge
Murphy,Golden Retriever,"(42.37417723, -71.10355314)",-71.10355314,-71.10355314,Mid-Cambridge
Mochi,French Bulldog,"(42.3885041, -71.12192867)",-71.12192867,-71.12192867,North Cambridge
Maximus,Lab Shepherd Mix,"(42.40215451, -71.1511923)",-71.1511923,-71.1511923,North Cambridge
Pastis,Miniature Poodle,"(42.36267491, -71.10158512)",-71.10158512,-71.10158512,Cambridgeport
Xena,Labrador Retriever,"(42.378544, -71.13512056)",-71.13512056,-71.13512056,West Cambridge
Shadow,Labrador Retriever,"(42.36762426, -71.11070122)",-71.11070122,-71.11070122,Mid-Cambridge
Banjo,Chihuahua Mix,"(42.39428079, -71.13022075)",-71.13022075,-71.13022075,North Cambridge
Dakota,Portuguese Water Dog,"(42.36620057, -71.11354768)",-71.11354768,-71.11354768,Riverside
Lola,Chihuahua Mix,"(42.38978314, -71.12595293)",-71.12595293,-71.12595293,Neighborhood Nine
Maple,Miniature Pincher,"(42.39344266, -71.14691021)",-71.14691021,-71.14691021,Cambridge Highlands
Tucker,Golden Retriever,"(42.40075765, -71.13440458)",-71.13440458,-71.13440458,North Cambridge
Sadie,American English Coonhound,"(42.36035182, -71.10024007)",-71.10024007,-71.10024007,Cambridgeport
Lilly Messina,Boxer Mix,"(42.3741866, -71.07853409)",-71.07853409,-71.07853409,East Cambridge
Coco,Maltese,"(42.37059286, -71.09451398)",-71.09451398,-71.09451398,The Port
Bonnie,Chihuahua,"(42.39315833, -71.13726941)",-71.13726941,-71.13726941,North Cambridge
Kobe,Pit Bull,"(42.36197097, -71.10892049)",-71.10892049,-71.10892049,Cambridgeport
Bella,Maltese,"(42.36790756, -71.09705059)",-71.09705059,-71.09705059,The Port
Caliban,Bearded Collie,"(42.38813449, -71.12898418)",-71.12898418,-71.12898418,Neighborhood Nine
Thelma,Portuguese Water Dog,"(42.39238247, -71.13175963)",-71.13175963,-71.13175963,North Cambridge
Reggie,American Staffordshire Terrier,"(42.36925653, -71.09483097)",-71.09483097,-71.09483097,Wellington-Harrington
Princess,Pomerainian,"(42.40064871, -71.13363629)",-71.13363629,-71.13363629,North Cambridge
Samson,Coton De Tulear,"(42.37850902, -71.13410925)",-71.13410925,-71.13410925,West Cambridge
Lexi,Labrador Retriever,"(42.39009861, -71.12056532)",-71.12056532,-71.12056532,North Cambridge
Cosmo,Chihuahua,"(42.36362945, -71.09498617)",-71.09498617,-71.09498617,The Port
Lola,Australian Shepherd,"(42.38134305, -71.12152128)",-71.12152128,-71.12152128,Neighborhood Nine
Zoe,Puggle,"(42.36745968, -71.07876421)",-71.07876421,-71.07876421,East Cambridge
