Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 12/20/2019 6:30:02 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Agbiboa,Daniel",4,0,0,0,0,0,0,4
156935,AFRAMER 116,Autobiography and Memoir,01,African & African Amer Studies,"Kincaid,Jamaica",9,1,1,3,0,0,0,14
207805,AFRAMER 131Y,Black Womens Voices in the #Me,1,African & African Amer Studies,"Chavers,Linda",25,0,0,0,0,0,0,25
213440,AFRAMER 171X,African Art and Religion,1,African & African Amer Studies,"Blier,Suzanne",1,1,0,0,0,0,0,2
123438,AFRAMER 187,African Religions,001,African & African Amer Studies,"Olupona,Jacob",3,2,0,0,0,0,0,5
213434,AFRAMER 196,Introduction to African Litera,1,African & African Amer Studies,"Coulibaly,Bojana",2,0,0,0,0,0,0,2
213435,AFRAMER 196X,"Literature, Society and Politi",1,African & African Amer Studies,"Coulibaly,Bojana",1,1,0,0,0,0,0,2
123435,AFRAMER 197,"Poverty, Race, and Health",01,African & African Amer Studies,"Williams,David",165,0,1,0,0,0,0,166
211170,AFRAMER 197X,Critiquing Black Muslim Reason,1,African & African Amer Studies,"Carter,Youssef J.",8,0,0,0,0,0,0,8
213441,AFRAMER 197Y,"The African Diaspora: Time, Sp",1,African & African Amer Studies,"Carter,Youssef J.",7,2,0,1,0,0,1,11
118883,AFRAMER 20,African Languages & Cultures,1,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,1,4
110494,AFRAMER 219A,Race & Ethnicity in Latin Am,1,African & African Amer Studies,"de la Fuente,Alejandro",2,8,0,3,0,0,0,13
115727,AFRAMER 301,Graduate Proseminar,001,African & African Amer Studies,"Morgan,Marcyliena",0,6,0,0,0,0,0,6
211217,AFRAMER 306,Theory and Race in the America,01,African & African Amer Studies,"McCarthy,Jesse",7,11,0,2,0,0,0,20
115731,AFRAMER 310,Individual Reading Tutorial,006,African & African Amer Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
115731,AFRAMER 310,Individual Reading Tutorial,028,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,,0,18,0,0,0,0,0,18
110605,AFRAMER 91R,Supervised Reading and Researc,001,African & African Amer Studies,"Blier,Suzanne",2,0,0,0,0,0,0,2
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Blier,Suzanne",2,0,0,0,0,0,0,2
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Blier,Suzanne",2,0,0,0,0,0,0,2
205835,AFRIKAAN 101AR,Advanced Afrikaans,001,African & African Amer Studies,"Mugane,John M",9,0,0,0,0,0,0,9
109427,AFRIKAAN AA,Elementary Afrikaans,001,African & African Amer Studies,"Mugane,John M",20,0,0,0,0,0,0,20
205832,AFRIKAAN BA,Intermediate Afrikaans,001,African & African Amer Studies,"Mugane,John M",14,0,0,0,0,0,0,14
203313,AFVS 112,Drawing 2: Model Witness,1,"Art, Film, and Visual Studies","Burin,Katarina",16,1,0,1,0,0,0,18
203463,AFVS 132R,Object Matter of Jellyfish,1,"Art, Film, and Visual Studies","Schultz,Nora",10,0,0,1,0,0,0,11
205346,AFVS 141BR,Using Photography to Upset Exp,1,"Art, Film, and Visual Studies","Harper,Sharon C.",7,0,0,0,0,0,0,7
213475,AFVS 144M,Photography and Ecology,1,"Art, Film, and Visual Studies","Best,Makeda Djata",16,0,0,2,0,0,0,18
114116,AFVS 150A,Film Directing: From Script to,001,"Art, Film, and Visual Studies","Suwichakornpong,Anocha",4,0,0,0,0,1,0,5
113447,AFVS 151BR,Nonfiction Video Projects,001,"Art, Film, and Visual Studies","McElwee,Ross",9,0,0,0,1,0,0,10
115390,AFVS 153AR,Intermediat:Making Animated Fi,001,"Art, Film, and Visual Studies","Szetela,Tim",6,0,0,2,0,0,0,8
205241,AFVS 155,Documentary Fictions,1,"Art, Film, and Visual Studies","Pimenta,Joana",5,2,0,2,0,0,0,9
121758,AFVS 15AR,Silkscreen,001,"Art, Film, and Visual Studies","Lemieux,Annette",12,0,0,0,0,0,0,12
208333,AFVS 161,Algorithmic Performance,1,"Art, Film, and Visual Studies","Hwang,Sohin",2,1,0,2,0,0,0,5
156235,AFVS 174,Art of the Real,1,"Art, Film, and Visual Studies","Lim,Dennis",5,0,1,2,0,0,0,8
119636,AFVS 196R,Directed Rsch: Studio Course,001,"Art, Film, and Visual Studies","Prina,Stephen",7,0,1,2,0,0,0,10
207946,AFVS 197K,Cinemas of Resistance,1,"Art, Film, and Visual Studies","Rennebohm,Katherine Shanne",15,0,0,0,0,0,0,15
110055,AFVS 20,Contemporary Painting Practice,1,"Art, Film, and Visual Studies","Lemieux,Annette",9,0,0,2,0,0,0,11
205183,AFVS 215,Critical Printing,001,"Art, Film, and Visual Studies","Saunders,Matt",3,6,0,2,0,0,0,11
205073,AFVS 22,Introduction to Painting,001,"Art, Film, and Visual Studies","Belzer,Judith",12,0,0,0,0,0,0,12
213421,AFVS 231,Studio Language,001,"Art, Film, and Visual Studies","Schultz,Nora",2,2,1,3,0,0,0,8
208064,AFVS 255,Introduction to Critical Media,001,"Art, Film, and Visual Studies","Mallozzi,Julie Marie",1,4,0,0,0,0,0,5
122079,AFVS 270,"Proseminar, Film & Visual Stdy",001,"Art, Film, and Visual Studies","Conley,Tom",1,9,1,0,0,0,0,11
203315,AFVS 279,"Materiality, Visual Culture",1,"Art, Film, and Visual Studies","Bruno,Giuliana",0,11,0,0,0,0,0,11
156172,AFVS 289,The Frankfurt School on Mass,1,"Art, Film, and Visual Studies","Rentschler,Eric",0,8,0,1,0,0,0,9
122841,AFVS 301,Film and Visual Studies Worksh,001,"Art, Film, and Visual Studies","Rentschler,Eric",0,23,1,1,0,0,0,25
124317,AFVS 310,Reading and Research,001,"Art, Film, and Visual Studies",,0,17,0,0,0,0,0,17
124316,AFVS 320,Directed Study,001,"Art, Film, and Visual Studies",,0,2,0,0,0,0,0,2
156525,AFVS 330R,Teaching Workshop,001,"Art, Film, and Visual Studies","Conley,Tom",0,3,0,0,0,0,0,3
127539,AFVS 351HF,Non-Fiction Filmmaking Wkshp,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,2,0,0,0,0,0,2
211192,AFVS 390,Graduate Studio Workshop,1,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,12,0,0,0,0,0,12
111189,AFVS 40A,Intro to Still Photography,001,"Art, Film, and Visual Studies","Perez,Elle",9,0,0,0,0,0,0,9
111189,AFVS 40A,Intro to Still Photography,002,"Art, Film, and Visual Studies","Perez,Elle",10,0,0,0,0,0,0,10
122184,AFVS 41A,Intro to Still Photography,1,"Art, Film, and Visual Studies","Harper,Sharon C.",10,0,0,0,0,0,0,10
114351,AFVS 50A,Intro to Non Fiction Filmmakin,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",8,0,0,1,0,0,0,9
