Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 3/22/2019 6:30:28 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
125749,AESTHINT 42,Revolution or Reform,001,General Education,"Simpson,James",5,0,0,0,0,0,0,5
127928,AESTHINT 47,Forbidden Romance Modern China,001,General Education,"Wang,David",21,0,0,3,1,0,0,25
109398,AESTHINT 56,"Shakespeare, The Later Plays",001,General Education,"Garber,Marjorie",75,0,0,0,1,0,0,76
110464,AESTHINT 63,East Asian Cinema,001,General Education,"Li,Jie",66,0,0,5,1,0,0,72
146214,AESTHINT 64,Chaucer: The Canterbury Tales,001,General Education,"Watson,Nicholas James",24,0,0,1,0,0,0,25
212578,AESTHINT 65,The Future of Cultural Space,001,General Education,"Kelsey,Robin",29,0,0,0,0,0,0,29
122910,AFRAMER 10,Intro to African Amer Studies,001,African & African Amer Studies,"West,Cornel",178,0,0,3,0,0,0,181
207721,AFRAMER 100Y,Introduction to Black Poetry,01,African & African Amer Studies,"McCarthy,Jesse",47,0,0,1,1,0,0,49
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",001,African & African Amer Studies,"Martin,Carla Denny",101,0,0,3,0,0,0,104
111438,AFRAMER 123Z,American Democracy,001,African & African Amer Studies,"West,Cornel",35,1,3,10,1,0,0,50
156259,AFRAMER 125X,Urban Inequality after Civil,001,African & African Amer Studies,"Hinton,Elizabeth Kai",40,0,0,0,0,0,0,40
156260,AFRAMER 130X,Richard Wright,001,African & African Amer Studies,"Shelby,Tommie",19,3,0,1,0,0,0,23
207805,AFRAMER 131Y,19th century Black Women Slave,01,African & African Amer Studies,"Chavers,Linda",20,0,0,0,0,0,0,20
126710,AFRAMER 142,I Am Hiphop,1,African & African Amer Studies,"Morgan,Marcyliena",10,0,0,1,0,0,0,11
125927,AFRAMER 160,"Christianity, Identity, and",01,African & African Amer Studies,"Olupona,Jacob",0,1,0,0,0,0,0,1
208021,AFRAMER 187X,The Creole Spirits,01,African & African Amer Studies,"Davidson,Christina",3,3,0,1,0,0,0,7
205834,AFRAMER 192Y,The Garden,01,African & African Amer Studies,"Kincaid,Jamaica",8,4,0,1,0,0,0,13
208056,AFRAMER 197X,Intersectional and Internation,01,African & African Amer Studies,"Nagaraja,Tejasvi",5,1,0,0,0,0,0,6
211170,AFRAMER 197Y,"The African Diaspora: Time, Sp",01,African & African Amer Studies,"Carter,Youssef J.",4,1,0,3,0,0,0,8
110501,AFRAMER 199X,Social Revolutions in Latin,1,African & African Amer Studies,"de la Fuente,Alejandro",4,0,0,0,0,0,0,4
